mu1,mu2,gap,contrast,share_new_adopters,mean_gain_income_new_adopters,N,R,store_threshold
0.5,0.4,0.1,0.80→0.85,0.13954,0.01313745230702256,100,500,0.01
0.5,0.4,0.1,0.80→0.90,0.37666,0.023961780893852647,100,500,0.01
0.5,0.4,0.1,0.80→0.95,0.58984,0.04325712167808336,100,500,0.01
0.55,0.45000000000000007,0.1,0.80→0.85,0.14318,0.016075488889253708,100,500,0.01
0.55,0.45000000000000007,0.1,0.80→0.90,0.376,0.03177608082505582,100,500,0.01
0.55,0.45000000000000007,0.1,0.80→0.95,0.62734,0.04618517714965006,100,500,0.01
0.6000000000000001,0.5000000000000001,0.1,0.80→0.85,0.14106,0.008117832459011452,100,500,0.01
0.6000000000000001,0.5000000000000001,0.1,0.80→0.90,0.4381,0.0162820931455534,100,500,0.01
0.6000000000000001,0.5000000000000001,0.1,0.80→0.95,0.62692,0.03616769535705627,100,500,0.01
0.6500000000000001,0.5500000000000002,0.1,0.80→0.85,0.15404,0.009450512529485054,100,500,0.01
0.6500000000000001,0.5500000000000002,0.1,0.80→0.90,0.4373,0.02144708044944618,100,500,0.01
0.6500000000000001,0.5500000000000002,0.1,0.80→0.95,0.65946,0.0377471401847914,100,500,0.01
0.7000000000000002,0.6000000000000002,0.1,0.80→0.85,0.16516,0.00420480597182075,100,500,0.01
0.7000000000000002,0.6000000000000002,0.1,0.80→0.90,0.40946,0.022125157924694314,100,500,0.01
0.7000000000000002,0.6000000000000002,0.1,0.80→0.95,0.64046,0.03906561453188854,100,500,0.01
0.7500000000000002,0.6500000000000002,0.1,0.80→0.85,0.15378,0.0016807628993070723,100,500,0.01
0.7500000000000002,0.6500000000000002,0.1,0.80→0.90,0.44568,0.014073072666596785,100,500,0.01
0.7500000000000002,0.6500000000000002,0.1,0.80→0.95,0.62058,0.033915420643463305,100,500,0.01
0.8000000000000003,0.7000000000000003,0.1,0.80→0.85,0.06962,-0.0003548011996444008,100,500,0.01
0.8000000000000003,0.7000000000000003,0.1,0.80→0.90,0.39328,0.008052083290401585,100,500,0.01
0.8000000000000003,0.7000000000000003,0.1,0.80→0.95,0.66554,0.027459738693973314,100,500,0.01
0.8500000000000003,0.7500000000000003,0.1,0.80→0.85,0.0,0.0,100,500,0.01
0.8500000000000003,0.7500000000000003,0.1,0.80→0.90,0.356,0.011086998170194576,100,500,0.01
0.8500000000000003,0.7500000000000003,0.1,0.80→0.95,0.6393,0.028326377284397936,100,500,0.01
0.9000000000000004,0.8000000000000004,0.1,0.80→0.85,0.0,0.0,100,500,0.01
0.9000000000000004,0.8000000000000004,0.1,0.80→0.90,0.46644,0.0015560833202726537,100,500,0.01
0.9000000000000004,0.8000000000000004,0.1,0.80→0.95,0.7251,0.023721539086097268,100,500,0.01
