mu1,mu2,gap,contrast,share_new_adopters,mean_gain_income_new_adopters,N,R,store_threshold
0.5,0.09999999999999998,0.4,0.80→0.85,0.0897,0.017031520615906997,100,500,0.01
0.5,0.09999999999999998,0.4,0.80→0.90,0.14774,0.05097574892263528,100,500,0.01
0.5,0.09999999999999998,0.4,0.80→0.95,0.15502,0.09718136186266936,100,500,0.01
0.55,0.15000000000000002,0.4,0.80→0.85,0.14504,0.01961706307896022,100,500,0.01
0.55,0.15000000000000002,0.4,0.80→0.90,0.18514,0.049918738568978924,100,500,0.01
0.55,0.15000000000000002,0.4,0.80→0.95,0.19714,0.09426065625166011,100,500,0.01
0.6000000000000001,0.20000000000000007,0.4,0.80→0.85,0.10368,0.00807630530519744,100,500,0.01
0.6000000000000001,0.20000000000000007,0.4,0.80→0.90,0.16462,0.03504110517426789,100,500,0.01
0.6000000000000001,0.20000000000000007,0.4,0.80→0.95,0.17968,0.07469410238556794,100,500,0.01
0.6500000000000001,0.2500000000000001,0.4,0.80→0.85,0.07342,0.012441022000504502,100,500,0.01
0.6500000000000001,0.2500000000000001,0.4,0.80→0.90,0.12742,0.041450304735136376,100,500,0.01
0.6500000000000001,0.2500000000000001,0.4,0.80→0.95,0.13942,0.0799852174697708,100,500,0.01
0.7000000000000002,0.30000000000000016,0.4,0.80→0.85,0.1155,0.010822088795026398,100,500,0.01
0.7000000000000002,0.30000000000000016,0.4,0.80→0.90,0.16138,0.03761514238814505,100,500,0.01
0.7000000000000002,0.30000000000000016,0.4,0.80→0.95,0.18738,0.07097384152089876,100,500,0.01
0.7500000000000002,0.3500000000000002,0.4,0.80→0.85,0.134,0.007541497188023593,100,500,0.01
0.7500000000000002,0.3500000000000002,0.4,0.80→0.90,0.188,0.03342482174929069,100,500,0.01
0.7500000000000002,0.3500000000000002,0.4,0.80→0.95,0.22,0.06180844283805529,100,500,0.01
0.8000000000000003,0.40000000000000024,0.4,0.80→0.85,0.142,0.011552088542362738,100,500,0.01
0.8000000000000003,0.40000000000000024,0.4,0.80→0.90,0.21158,0.03547933392267591,100,500,0.01
0.8000000000000003,0.40000000000000024,0.4,0.80→0.95,0.2312,0.06625187784527402,100,500,0.01
0.8500000000000003,0.4500000000000003,0.4,0.80→0.85,0.15058,0.02179914642986179,100,500,0.01
0.8500000000000003,0.4500000000000003,0.4,0.80→0.90,0.23112,0.04622933842567306,100,500,0.01
0.8500000000000003,0.4500000000000003,0.4,0.80→0.95,0.286,0.06672121069825951,100,500,0.01
0.9000000000000004,0.5000000000000003,0.4,0.80→0.85,0.09142,0.008257345770371226,100,500,0.01
0.9000000000000004,0.5000000000000003,0.4,0.80→0.90,0.14076,0.02580301724080451,100,500,0.01
0.9000000000000004,0.5000000000000003,0.4,0.80→0.95,0.16774,0.05082843754470835,100,500,0.01
