mu1,mu2,gap,contrast,share_always,share_never,mean_gain_income_always,N,R,store_threshold
0.5,0.09999999999999998,0.4,0.80→0.85,0.84162,0.06868,0.047882488278712526,100,500,0.01
0.5,0.09999999999999998,0.4,0.80→0.90,0.84162,0.01064,0.0962809201561735,100,500,0.01
0.5,0.09999999999999998,0.4,0.80→0.95,0.84162,0.00336,0.14362433131941213,100,500,0.01
0.55,0.15000000000000002,0.4,0.80→0.85,0.80086,0.0541,0.04679350067145724,100,500,0.01
0.55,0.15000000000000002,0.4,0.80→0.90,0.80086,0.014,0.09283069977298312,100,500,0.01
0.55,0.15000000000000002,0.4,0.80→0.95,0.80086,0.002,0.13759894907529932,100,500,0.01
0.6000000000000001,0.20000000000000007,0.4,0.80→0.85,0.81432,0.082,0.04462200949135224,100,500,0.01
0.6000000000000001,0.20000000000000007,0.4,0.80→0.90,0.81432,0.02106,0.08832939616077942,100,500,0.01
0.6000000000000001,0.20000000000000007,0.4,0.80→0.95,0.81432,0.006,0.1308080496022867,100,500,0.01
0.6500000000000001,0.2500000000000001,0.4,0.80→0.85,0.85258,0.074,0.040613569248728984,100,500,0.01
0.6500000000000001,0.2500000000000001,0.4,0.80→0.90,0.85258,0.02,0.08186180679977693,100,500,0.01
0.6500000000000001,0.2500000000000001,0.4,0.80→0.95,0.85258,0.008,0.12220948844697267,100,500,0.01
0.7000000000000002,0.30000000000000016,0.4,0.80→0.85,0.79262,0.09188,0.04154768750323171,100,500,0.01
0.7000000000000002,0.30000000000000016,0.4,0.80→0.90,0.79262,0.046,0.08168079038193866,100,500,0.01
0.7000000000000002,0.30000000000000016,0.4,0.80→0.95,0.79262,0.02,0.12086893662966453,100,500,0.01
0.7500000000000002,0.3500000000000002,0.4,0.80→0.85,0.77,0.096,0.03863899762811209,100,500,0.01
0.7500000000000002,0.3500000000000002,0.4,0.80→0.90,0.77,0.042,0.0764438524289625,100,500,0.01
0.7500000000000002,0.3500000000000002,0.4,0.80→0.95,0.77,0.01,0.11378884904104114,100,500,0.01
0.8000000000000003,0.40000000000000024,0.4,0.80→0.85,0.74,0.118,0.03738713829149686,100,500,0.01
0.8000000000000003,0.40000000000000024,0.4,0.80→0.90,0.74,0.04842,0.07369318812853148,100,500,0.01
0.8000000000000003,0.40000000000000024,0.4,0.80→0.95,0.74,0.0288,0.10985394998747876,100,500,0.01
0.8500000000000003,0.4500000000000003,0.4,0.80→0.85,0.696,0.15342,0.0362316402846612,100,500,0.01
0.8500000000000003,0.4500000000000003,0.4,0.80→0.90,0.696,0.07288,0.07115940295179125,100,500,0.01
0.8500000000000003,0.4500000000000003,0.4,0.80→0.95,0.696,0.018,0.10598297102477978,100,500,0.01
0.9000000000000004,0.5000000000000003,0.4,0.80→0.85,0.78026,0.12832,0.03617779829851291,100,500,0.01
0.9000000000000004,0.5000000000000003,0.4,0.80→0.90,0.78026,0.07898,0.07015337355720637,100,500,0.01
0.9000000000000004,0.5000000000000003,0.4,0.80→0.95,0.78026,0.052,0.10400078224662916,100,500,0.01
