mu1,mu2,gap,contrast,share_new_adopters,mean_gain_income_new_adopters,N,R,store_threshold
0.5,0.3,0.2,0.80→0.85,0.25654,0.010230914627122834,100,500,0.01
0.5,0.3,0.2,0.80→0.90,0.45062,0.03692063138025339,100,500,0.01
0.5,0.3,0.2,0.80→0.95,0.58136,0.06681675641496922,100,500,0.01
0.55,0.35000000000000003,0.2,0.80→0.85,0.26146,0.005018305823658735,100,500,0.01
0.55,0.35000000000000003,0.2,0.80→0.90,0.44274,0.023264673693067034,100,500,0.01
0.55,0.35000000000000003,0.2,0.80→0.95,0.64534,0.045588282058949256,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.80→0.85,0.25718,0.006789209493286955,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.80→0.90,0.54692,0.02566302620013007,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.80→0.95,0.68064,0.05336411667490081,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.80→0.85,0.25232,0.01327571129235362,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.80→0.90,0.50966,0.032367777245687325,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.80→0.95,0.71528,0.053959136420956295,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.80→0.85,0.31826,0.011877920130336549,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.80→0.90,0.56304,0.032070117519390234,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.80→0.95,0.6712,0.05892677418694373,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.80→0.85,0.28708,0.013852944811586127,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.80→0.90,0.53094,0.03341217229939523,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.80→0.95,0.69218,0.05288017282062536,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.80→0.85,0.30652,0.010808525190313206,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.80→0.90,0.56786,0.03126219560405965,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.80→0.95,0.73598,0.051541016910312695,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.80→0.85,0.50534,0.008211806045792188,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.80→0.90,0.7567,0.029391155398673416,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.80→0.95,0.832,0.055509133746187475,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.80→0.85,0.48028,0.0013305930373637203,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.80→0.90,0.75556,0.02431313039226086,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.80→0.95,0.87522,0.04764389786235006,100,500,0.01
