mu1,mu2,gap,contrast,share_always,share_never,mean_gain_income_always,N,R,store_threshold
0.5,0.3,0.2,0.80→0.85,0.24062,0.50284,0.036329609954087405,100,500,0.01
0.5,0.3,0.2,0.80→0.90,0.24062,0.30876,0.07662572880975319,100,500,0.01
0.5,0.3,0.2,0.80→0.95,0.24062,0.17802,0.1153480891263506,100,500,0.01
0.55,0.35000000000000003,0.2,0.80→0.85,0.22998,0.50856,0.041229199235197876,100,500,0.01
0.55,0.35000000000000003,0.2,0.80→0.90,0.22998,0.32728,0.08045957893006957,100,500,0.01
0.55,0.35000000000000003,0.2,0.80→0.95,0.22998,0.12468,0.11813727611493803,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.80→0.85,0.18534,0.55748,0.04080580631354498,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.80→0.90,0.18534,0.26774,0.0784896964724506,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.80→0.95,0.18534,0.13402,0.11507283879330031,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.80→0.85,0.14096,0.60672,0.03576930655678993,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.80→0.90,0.14096,0.34938,0.07092329659767359,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.80→0.95,0.14096,0.14376,0.10555079741252243,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.80→0.85,0.1925,0.48924,0.04034293839585207,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.80→0.90,0.1925,0.24446,0.07521917982056656,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.80→0.95,0.1925,0.1363,0.10932770160450964,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.80→0.85,0.16816,0.54476,0.02523996727678435,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.80→0.90,0.16816,0.3009,0.05755354264866483,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.80→0.95,0.16816,0.13966,0.08951042893964992,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.80→0.85,0.07126,0.62222,0.029609589103577198,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.80→0.90,0.07126,0.36088,0.06158894248375138,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.80→0.95,0.07126,0.19276,0.09307446689982243,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.80→0.85,0.0,0.49466,0.0,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.80→0.90,0.0,0.2433,0.0,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.80→0.95,0.0,0.168,0.0,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.80→0.85,0.0,0.51972,0.0,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.80→0.90,0.0,0.24444,0.0,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.80→0.95,0.0,0.12478,0.0,100,500,0.01
