mu,kappa,tau_threshold,RN_store_prob_analytic,RN_store_prob_MC
0.1,0.75,0.4469520771004123,0.040233699148488844,0.05
0.1,0.8,0.3565175722816365,0.07117093607431502,0.08
0.1,0.85,0.276722420970952,0.11354962964281912,0.108
0.1,0.9,0.20579339758367676,0.1698547129177096,0.172
0.1,0.95,0.14233058718453617,0.24475100310387488,0.244
0.15000000000000002,0.75,0.5129091665226986,0.026173395304737057,0.02
0.15000000000000002,0.8,0.4183523436150296,0.060548873979524465,0.052
0.15000000000000002,0.85,0.3349198528141457,0.11501995187755198,0.092
0.15000000000000002,0.9,0.26075763876891545,0.1923074237061393,0.176
0.15000000000000002,0.95,0.19440197357055156,0.2945644198070153,0.314
0.20000000000000004,0.75,0.5795112731329937,0.015411520000316092,0.012
0.20000000000000004,0.8,0.48079181856218156,0.04743984234484566,0.05
0.20000000000000004,0.85,0.3936864174702883,0.106699913285761,0.12
0.20000000000000004,0.9,0.3162593942774945,0.1969412808459653,0.212
0.20000000000000004,0.95,0.2469825840523634,0.31734492335488707,0.342
0.25000000000000006,0.75,0.6464209036960051,0.00829397164746759,0.002
0.25000000000000006,0.8,0.5435195972150044,0.03554337272826935,0.036
0.25000000000000006,0.85,0.4527243267905927,0.09551185326278877,0.09
0.25000000000000006,0.9,0.3720174197466708,0.1942513421502048,0.168
0.25000000000000006,0.95,0.2998059766021095,0.3282830817915088,0.312
0.30000000000000004,0.75,0.7134841997043659,0.003932235740685575,0.002
0.30000000000000004,0.8,0.6063914372228429,0.025490957636322698,0.026
0.30000000000000004,0.85,0.5118978232685585,0.08360649559952038,0.074
0.30000000000000004,0.9,0.4279034997536384,0.1880976780685083,0.186
0.30000000000000004,0.95,0.3527506839771313,0.3333354868163302,0.338
0.3500000000000001,0.75,0.7806194576374557,0.0015127098150562457,0.002
0.3500000000000001,0.8,0.6693307415351148,0.017272748040500052,0.016
0.3500000000000001,0.85,0.5711348155624609,0.07174421759147609,0.074
0.3500000000000001,0.9,0.48384954803121305,0.18012150353702583,0.186
0.3500000000000001,0.95,0.40575220339799123,0.3351911887847897,0.31
0.40000000000000013,0.75,0.8477824159584304,0.0003913368503331016,0.002
0.40000000000000013,0.8,0.7322960149610285,0.01075619329984201,0.014
0.40000000000000013,0.85,0.6303962493750854,0.060197255440569974,0.056
0.40000000000000013,0.9,0.5398186799653584,0.17109294094338423,0.144
0.40000000000000013,0.95,0.45877559154612935,0.33523751635346755,0.316
0.4500000000000001,0.75,0.9149484048739425,3.8646702794076226e-05,0.0
0.4500000000000001,0.8,0.795264129569321,0.005820613053651558,0.006
0.4500000000000001,0.85,0.6896603572417139,0.04903201198892804,0.038
0.4500000000000001,0.9,0.5957903373949518,0.16137523196035086,0.172
0.4500000000000001,0.95,0.5118013722689019,0.33428334258464654,0.326
0.5000000000000001,0.75,0.9821030390899623,2.7847501193889457e-08,0.0
0.5000000000000001,0.8,0.8582215991468398,0.0024037340488919368,0.002
0.5000000000000001,0.85,0.7489144462558492,0.03821197174255486,0.038
0.5000000000000001,0.9,0.6517525325749687,0.15109579450400223,0.164
0.5000000000000001,0.95,0.5648181887552337,0.33286561166333595,0.366
0.5500000000000002,0.75,1.049237238731589,0.0,0.0
0.5500000000000002,0.8,0.9211599113108644,0.0005057869608692256,0.002
0.5500000000000002,0.85,0.8081505047631667,0.0276491493443648,0.02
0.5500000000000002,0.9,0.7076976989429904,0.14019194414809455,0.138
0.5500000000000002,0.95,0.6178188726828331,0.3314018681884424,0.3
0.6000000000000002,0.75,1.1163442570414879,0.0,0.0
0.6000000000000002,0.8,0.984072740976395,2.695762110982436e-06,0.0
0.6000000000000002,0.85,0.8673625797424895,0.017280831581321654,0.026
0.6000000000000002,0.9,0.76362021420124,0.1283656094939245,0.166
0.6000000000000002,0.95,0.6707980976643326,0.3302865092310101,0.366
0.6500000000000001,0.75,1.183417397584499,0.0,0.0
0.6500000000000001,0.8,1.0469538102354674,0.0,0.0
0.6500000000000001,0.85,0.926544762574558,0.007381784122394208,0.006
0.6500000000000001,0.9,0.8195144979870821,0.11489356448794263,0.098
0.6500000000000001,0.95,0.7237505770403938,0.3299785663390765,0.318
0.7000000000000002,0.75,1.2504473161665906,0.0,0.0
0.7000000000000002,0.8,1.1097943589061785,0.0,0.0
0.7000000000000002,0.85,0.9856888083822859,0.00033086473835741703,0.002
0.7000000000000002,0.9,0.8753727634721586,0.0980427610961907,0.106
0.7000000000000002,0.95,0.7766689338157293,0.33112117652564055,0.342
0.7500000000000002,0.75,1.3174171415547313,0.0,0.0
0.7500000000000002,0.8,1.1725785702075604,0.0,0.0
0.7500000000000002,0.85,1.0447798307835865,0.0,0.0
0.7500000000000002,0.9,0.9311809512956093,0.07297176067392142,0.082
0.7500000000000002,0.95,0.8295398485958407,0.33475098855784813,0.342
0.8000000000000003,0.75,1.3842913148015956,0.0,0.0
0.8000000000000003,0.8,1.235273107626496,0.0,0.0
0.8000000000000003,0.85,1.103786454236702,0.0,0.0
0.8000000000000003,0.9,0.9869094290013294,0.021007243701075096,0.018
0.8000000000000003,0.95,0.8823352485275757,0.3426629994555289,0.332
0.8500000000000003,0.75,1.4509862469443964,0.0,0.0
0.8500000000000003,0.8,1.2977996065103716,0.0,0.0
0.8500000000000003,0.85,1.1626349237744673,0.0,0.0
0.8500000000000003,0.9,1.0424885391203302,0.0,0.0
0.8500000000000003,0.95,0.9349891423245233,0.35720279565984747,0.358
0.9000000000000002,0.75,1.51723562086968,0.0,0.0
0.9000000000000002,0.8,1.3599083945653248,0.0,0.0
